what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365605553052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365620549829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365620552617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365649595151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365649596585
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1365649597967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365649610445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651481280
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365651484488
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651484506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651489065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651489678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651492286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651492699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651494637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651504556
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365651505474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651505891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651513425
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365651518592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651521945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651526842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365651526858
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365651535288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651598644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651600190
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365651653076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651654950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651657159
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365651661952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651662331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365651669747
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365651672185
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365651725913
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651726581
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651726686
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365651771239
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365651947663
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651947915
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365651948874
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651949084
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651949131
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365651951479
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651951671
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651951693
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365651952400
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651952647
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651952683
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1365651956801
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651956917
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365651997118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365652101888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365652103829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365652106681
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365652108185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365652108505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365652115918
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365652118992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365652306342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365653129404
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365653131441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365653134564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365653138644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365653149544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365653615361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365653616122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365655795316
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365655859764
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365655862662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365655865362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365655867536
executed,command,it.baeyens.avreclipse.ui,4.0.8,"it.baeyens.avreclipse.commands.uploadproject",1365655868823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365655869110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365655917679
activated,view,it.baeyens.arduino.monitor,1.2.2,"it.baeyens.arduino.monitor.views.SerialMonitor",1365655972190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365656251215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365656263394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365697244808
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697320680
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697322231
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697323617
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697325039
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365697381327
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697381739
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697381764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365697396144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365697396335
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697398021
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697399376
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697406853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697421002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365697422378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365697441055
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697443169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365697444178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1365697444197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365697449603
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1365697476813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365697479121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365697479424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365697479648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365697479830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365697480004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365697480218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365697480409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1365697482555
